,0,1,2,3
0,5.1,3.5,1.4,0.2
1,4.9,3.0,1.4,0.2
2,4.7,3.2,1.3,0.2
3,4.6,3.1,1.5,0.2
4,5.0,3.6,1.4,0.2
5,5.4,3.9,1.7,0.4
6,4.6,3.4,1.4,0.3
7,5.0,3.4,1.5,0.2
8,4.4,2.9,1.4,0.2
9,4.9,3.1,1.5,0.1
10,5.4,3.7,1.5,0.2
11,4.8,3.4,1.6,0.2
12,4.8,3.0,1.4,0.1
13,4.3,3.0,1.1,0.1
14,5.8,4.0,1.2,0.2
15,5.7,4.4,1.5,0.4
16,5.4,3.9,1.3,0.4
17,4.9,3.1,1.5,0.1
18,5.0,3.2,1.2,0.2
19,5.5,3.5,1.3,0.2
20,4.9,3.1,1.5,0.1
21,4.4,3.0,1.3,0.2
22,5.1,3.4,1.5,0.2
23,5.0,3.5,1.3,0.3
24,4.5,2.3,1.3,0.3
25,4.4,3.2,1.3,0.2
26,5.0,3.5,1.6,0.6
27,5.1,3.8,1.9,0.4
28,4.8,3.0,1.4,0.3
29,5.1,3.8,1.6,0.2
30,4.6,3.2,1.4,0.2
31,5.3,3.7,1.5,0.2
32,5.0,3.3,1.4,0.2
33,7.0,3.2,4.7,1.4
34,6.4,3.2,4.5,1.5
35,6.9,3.1,4.9,1.5
36,5.5,2.3,4.0,1.3
37,6.5,2.8,4.6,1.5
38,5.7,2.8,4.5,1.3
39,6.3,3.3,4.7,1.6
40,4.9,2.4,3.3,1.0
41,6.6,2.9,4.6,1.3
42,5.2,2.7,3.9,1.4
43,5.0,2.0,3.5,1.0
44,5.9,3.0,4.2,1.5
45,6.0,2.2,4.0,1.0
46,6.1,2.9,4.7,1.4
47,5.6,2.9,3.6,1.3
48,6.7,3.1,4.4,1.4
49,5.6,3.0,4.5,1.5
50,5.4,3.0,4.5,1.5
51,6.0,3.4,4.5,1.6
52,6.7,3.1,4.7,1.5
53,6.3,2.3,4.4,1.3
54,5.6,3.0,4.1,1.3
55,5.5,2.5,4.0,1.3
56,5.5,2.6,4.4,1.2
57,6.1,3.0,4.6,1.4
58,5.8,2.6,4.0,1.2
59,5.0,2.3,3.3,1.0
60,5.6,2.7,4.2,1.3
61,5.7,3.0,4.2,1.2
62,5.7,2.9,4.2,1.3
63,6.2,2.9,4.3,1.3
64,5.1,2.5,3.0,1.1
65,5.7,2.8,4.1,1.3
66,6.3,3.3,6.0,2.5
67,5.8,2.7,5.1,1.9
68,7.1,3.0,5.9,2.1
69,6.3,2.9,5.6,1.8
70,6.5,3.0,5.8,2.2
71,7.6,3.0,6.6,2.1
72,4.9,2.5,4.5,1.7
73,7.3,2.9,6.3,1.8
74,6.7,2.5,5.8,1.8
75,7.2,3.6,6.1,2.5
76,6.5,3.2,5.1,2.0
77,6.4,2.7,5.3,1.9
78,6.8,3.0,5.5,2.1
79,5.7,2.5,5.0,2.0
80,5.8,2.8,5.1,2.4
81,6.4,3.2,5.3,2.3
82,6.5,3.0,5.5,1.8
83,6.1,2.6,5.6,1.4
84,7.7,3.0,6.1,2.3
85,6.3,3.4,5.6,2.4
86,6.4,3.1,5.5,1.8
87,6.0,3.0,4.8,1.8
88,6.9,3.1,5.4,2.1
89,6.7,3.1,5.6,2.4
90,6.9,3.1,5.1,2.3
91,5.8,2.7,5.1,1.9
92,6.8,3.2,5.9,2.3
93,6.7,3.3,5.7,2.5
94,6.7,3.0,5.2,2.3
95,6.3,2.5,5.0,1.9
96,6.5,3.0,5.2,2.0
97,6.2,3.4,5.4,2.3
98,5.9,3.0,5.1,1.8
